Cf	cod_amm	des_amm	Comune	nome_resp	cogn_resp	Cap	Provincia	Regione	sito_istituzionale	Indirizzo	titolo_resp	tipologia_istat	tipologia_amm	acronimo	cf_validato	mail1	tipo_mail1	mail2	tipo_mail2	mail3	tipo_mail3	mail4	tipo_mail4	mail5	tipo_mail5	url_facebook	url_twitter	url_youtube	url_linkedin	liv_accessibili	alert	nb
84503860151	c_c536	Comune di Cerro al Lambro	Cerro al Lambro	Marco	Sassi	20070	MI	Lombardia	www.comune.cerroallambro.mi.it	Piazza Roma, 11	Sindaco pro-tempore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cerroallambro@pacertificata.it	pec	protocollo@comune.cerroallambro.mi.it	altro	null	null	null	null	null	null				null	0		1
01230310151	c_c537	Comune di Cerro Maggiore	Cerro Maggiore	Giuseppina	Berra	20023	MI	Lombardia	www.cerromaggiore.org	v. San Carlo, 17	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.cerromaggiore@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		
80007570239	c_c538	Comune di Cerro Veronese	Cerro Veronese	NADIA	MASCHI	37020	VR	Veneto	www.comune.cerroveronese.vr.it	Piazza Don Angelo Vinco, 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cerroveronese@pec.it	pec	comune@comune.cerroveronese.vr.it	altro	null	null	null	null	null	null				null	0		1
82000310761	c_c539	Comune di Cersosimo	Cersosimo	Armando Antonio	Loprete	85030	PZ	Basilicata	www.comune.cersosimo.pz.it	Via Fratelli Bandiera, 9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunecersosimo.pz@pec.it	pec	comunecersosimo@rete.basilicata.it	altro	ragioneria@pec.comune.cersosimo.pz.it	pec	null	null	null	null				null	0		
01310860489	c_c540	Comune di Certaldo	Certaldo	Giacomo	Cucini	50052	FI	Toscana	www.comune.certaldo.fi.it	Piazza Boccaccio, 13	Sindaco Pro-Tempore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.certaldo@postacert.toscana.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/pages/Comune-di-Certaldo/184146938343934	http://twitter.com/comunecertaldo	http://www.youtube.com/user/ComunediCertaldo	null	0		1
80000850182	c_c541	Comune di Certosa di Pavia	Certosa di Pavia	Marcello Emanuele	Infurna	27012	PV	Lombardia	www.certosadipavia.gov.it	Via Togliatti 12	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune@pec.certosadipavia.gov.it	pec	null	null	null	null	null	null	null	null				null	0		
00188100796	c_c542	Comune di Cerva	Cerva	Fabrizio	Rizzuti	88050	CZ	Calabria	www.comune.cerva.cz.it	Piazza Della Vittoria, 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.cerva@asmepec.it	pec	tecnico.cerva@asmepec.it	pec	ragioneria.cerva@asmepec.it	pec	amministrativo.cerva@asmepec.it	pec	sindaco.cerva@asmepec.it	pec				null	0		1
86000210582	c_c543	Comune di Cervara di Roma	Cervara di Roma	Giovanni	Mitelli	00020	RM	Lazio	comune.cervaradiroma.rm.it	via Giuseppe Verdi n.9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervaradiroma.comune@legalmail.it	pec	cervaradiroma.comune@gmail.com	altro	null	null	null	null	null	null				null	0		
80009270283	c_c544	Comune di Cervarese Santa Croce	Cervarese Santa Croce	Massimo	Campagnolo	35030	PD	Veneto	www.comune.cervarese.pd.it	Piazza A.Moro 9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervaresesantacroce.pd@cert.ip-veneto.net	pec	null	null	null	null	null	null	null	null				null	0	1	1
81000350603	c_c545	Comune di Cervaro	Cervaro	Monica	FERRARA MINOLFI	03044	FR	Lazio	www.comune.cervaro.fr	P.zza V. Emanuele, 1	Commissario Straordinario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cervaro.fr@cert-posta.it	pec	finanza@comune.cervaro.fr.it	altro	null	null	null	null	null	null					0		
00527900047	c_c547	Comune di Cervasca	Cervasca	SUSANNA	VALACCO	12010	CN	Piemonte	www.comune.cervasca.cn.it	Via Roma, 34	SEGRETARIO COMUNALE	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervasca@postemailcertificata.it	pec	info@comune.cervasca.cn.it	altro	null	null	null	null	null	null				null	0	1	1
82000730026	c_c548	Comune di Cervatto	Cervatto	Federica	Stalla	13025	VC	Piemonte	www.comune.cervatto.vc.it	Via Centro, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervatto@cert.ruparpiemonte.it	pec	amministrazione.fobello@ruparpiemonte.it	altro	null	null	null	null	null	null				null	0	1	1
00248390049	c_c550	Comune di Cervere	Cervere	CORRADO	MARCHISIO	12040	CN	Piemonte	www.comune.cervere.cn.it	Piazza Umberto 1	SINDACO	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervere@postemailcertificata.it	pec	info@comune.cervere.cn.it	altro	null	null	null	null	null	null				null	0	1	1
00333900181	c_c551	Comune di Cervesina	Cervesina	Taramaschi	Daniele	27050	PV	Lombardia	www.comune.cervesina.pv.it	Piazza Caduti Per La Patria 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ragioneria.cervesina@pec.it	pec	protocollo@comune.cervesina.pv.it	altro	urp@comune.cervesina.pv.it	altro	null	null	null	null				null	0		
02407640586	c_c552	Comune di Cerveteri	Cerveteri	Alessio	Pascucci	00052	RM	Lazio	www.comune.cerveteri.rm.it	Piazza Risorgimento, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunecerveteri@pec.it	pec	suapcomunecerveteri@pec.it	pec	finanziario@comune.cerveteri.rm.it	altro	null	null	null	null				null	0		1
00360090393	c_c553	Comune di Cervia	Cervia	Massimo	Medri	48015	RA	Emilia Romagna	www.comunecervia.it	Piazza Garibaldi, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cervia@legalmail.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/comunecervia/		https://www.youtube.com/user/comunecervia		0	1	1
80007080783	c_c554	Comune di Cervicati	Cervicati	Massimiliano	Barci	87010	CS	Calabria	www.comune.cervicati.cs.it	Piazza Guzolini, 21	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	sindaco.cervicati@asmepec.it	pec	tecnico.cervicati@asmepec.it	pec	anagrafe.cervicati@asmepec.it	pec	null	null	null	null				null	0		1
84503600151	c_c555	Comune di Cervignano d'Adda	Cervignano d'Adda	Maria Pia	Mazzucco	26832	LO	Lombardia	www.comune.cervignanodadda.lo.it	Piazza del Municipio, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cervignanodadda@cert.elaus2002.net	pec	null	null	null	null	null	null	null	null				null	0		
81000730309	c_c556	Comune di Cervignano del Friuli	Cervignano del Friuli	Gianluigi	Savino	33052	UD	Friuli Venezia Giulia	www.cervignanodelfriuli.net	p. Indipendenza 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cervignanodelfriuli@certgov.fvg.it	pec	informatica-impianti@comune.cervignanodelfriuli.ud.it	altro	null	null	null	null	null	null				null	3		1
00253270649	c_c557	Comune di Cervinara	Cervinara	FILUCCIO	TANGREDI	83012	AV	Campania	www.comune.cervinara.av.it	Piazza Trescine	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	ufficioprotocollo.cervinara@asmepec.it	pec	ragioneria.cervinara@asmepec.it	pec	anagrafe.cervinara@asmepec.it	pec	statocivile.cervinara@asmepec.it	pec	ufftec.cervinara@asmepec.it	pec	https://www.facebook.com/cervinara	https://www.twitter.com/cervinara	https://www.youtube.com/cervinara	null	0		
00352450613	C_C558	Comune di Cervino	Cervino	Gennaro	Piscitelli	81023	CE	Campania	www.comune.cervino.ce.it	Via Toniolo	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cervino@asmepec.it	pec	utc.cervino@asmepec.it	pec	tributi.cervino@asmepec.it	pec	null	null	null	null					0		1
00246280085	c_c559	Comune di Cervo	Cervo	Giovanna	Severoni	18010	IM	Liguria	www.cervo.com	Salita Al Castello N. 15	Responsabile Del Servizio	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comunecervo.com	pec	comunecervo@cervo.com	altro	null	null	null	null	null	null				null	0		1
00375970787	c_c560	Comune di Cerzeto	Cerzeto	Giuseppe	Rizzo	87040	CS	Calabria	www.comune.cerzeto.cs.it	Via Petrassi, 11	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cerzeto@pec.comune.cerzeto.cs.it	pec	null	null	null	null	null	null	null	null				null	0		
81001370618	c_c561	Comune di Cesa	Cesa	VINCENZO	GUIDA	81030	CE	Campania	www.comune.cesa.ce.it	Piazza A. De Gasperi	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.cesa.ce.it	pec	protocollo@comune.cesa.ce.it	altro	null	null	null	null	null	null				null	1		1
00721850139	c_c563	Comune di Cesana Brianza	Cesana Brianza	Eugenio Alfonso	Galli	23861	LC	Lombardia	www.comune.cesana-brianza.lc.it	Via Papa Giovanni XXIII, 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cesanabrianza@pec.regione.lombardia.it	pec	segreteria@comune.cesana-brianza.lc.it	altro	null	null	null	null	null	null				null	0		
01651110015	c_c564	Comune di Cesana Torinese	Cesana Torinese	Roberto	Vaglio	10054	TO	Piemonte	www.comune.cesana.to.it	Piazza Vittorio Amedeo, 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunecesana@legalmail.it	pec	info@comune.cesana.to.it	altro	null	null	null	null	null	null					0		1
80098810155	c_c565	Comune di Cesano Boscone	Cesano Boscone	Anna Maria	Bruno	20090	MI	Lombardia	www.comune.cesano-boscone.mi.it	Via Pogliani, 3	Segretario Generale 	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.cesano-boscone.mi.it	pec	urp@comune.cesano-boscone.mi.it	altro	null	null	null	null	null	null	https://it-it.facebook.com/pages/Cesano-Boscone-20090/153436054744637		https://www.youtube.com/user/CesanoBosconeTV	null	0		1
83000130159	c_c566	Comune di Cesano Maderno	Cesano Maderno	Maurilio Ildefonso	Longhin	20811	MB	Lombardia	www.comune.cesano-maderno.mb.it	P.zza Arese 12	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.cesano-maderno.mb.it	pec	protocollo@comune.cesano-maderno.mb.it	altro	null	null	null	null	null	null				null	0		1
00436290035	c_c567	Comune di Cesara	Cesara	Gian Carlo	Ricca	28891	VB	Piemonte	www.comune.cesara.vb.it	Piazza Marconi, 6	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cesara@cert.ruparpiemonte.it	pec	municipio@comune.cesara.vb.it	altro	servizifinanziari@comune.cesara.vb.it	altro	null	null	null	null				null	0		1
84004050831	c_c568	Comune di Cesaro'	Cesaro'	Salvatore	Cali'	98033	ME	Sicilia	www.comune.cesaro.me.it	Corso Margherita 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cesaro@pec.intradata.it	pec	null	null	null	null	null	null	null	null				null	0		
80100990151	c_c569	Comune di Cesate	Cesate	Fabio	Pozzoli	20020	MI	Lombardia	www.comune.cesate.mi.it	v. Don Oreste Moretti 10	Responsabile Lavori Puibblici e informatica	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@comune.cesate.mi.legalmail.it	pec	protocollo@comune.cesate.mi.it	altro	null	null	null	null	null	null	http://www.facebook.com/Comune.di.Cesate	http://twitter.com/ComunediCesate	http://www.youtube.com/user/ComuneCesate	null	0	1	1
00143280402	c_c573	Comune di Cesena	Cesena	Enzo	Lattuca	47520	FC	Emilia Romagna	www.comune.cesena.fc.it	Piazza Del Popolo, 10	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.cesena.fc.it	pec	null	null	null	null	null	null	null	null	https://it-it.facebook.com/comunedicesena				0		1
00220600407	c_c574	Comune di Cesenatico	Cesenatico	Matteo	Gozzoli	47042	FC	Emilia Romagna	www.comune.cesenatico.fc.it	v. Marino Moretti, 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cesenatico@cert.provincia.fc.it	pec	fatture@pec.comune.cesenatico.fc.it	pec	null	null	null	null	null	null	https://www.facebook.com/comunecesenatico/			null	0		1
00225660646	c_c576	Comune di Cesinali	Cesinali	Ciro  Aniello	Tango	83020	AV	Campania	www.comune.cesinali.av.it	Piazza Municipio 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.cesinali@asmepec.it	pec	null	null	null	null	null	null	null	null				null	0		1
00203620257	c_c577	Comune di Cesiomaggiore	Cesiomaggiore	Carlo	Zanella	32030	BL	Veneto	www.comune.cesiomaggiore.bl.it	Piazza Mercato, 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cesiomaggiore.bl@cert.ip-veneto.net	pec	null	null	null	null	null	null	null	null				null	0		1
00244940086	c_c578	Comune di Cesio	Cesio	Fabio	Natta	18022	IM	Liguria	www.comune.cesio.im.it/	Via San Gottardo, 11	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	pec@pec.comune.cesio.im.it	pec	null	null	null	null	null	null	null	null				null	0		
80011370261	c_c580	Comune di Cessalto	Cessalto	Luciano	Franzin	31040	TV	Veneto	www.comune.cessalto.tv.it	Piazza Martiri Della Liberta', 3	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.comune.cessalto.tv@pecveneto.it	pec	municipio@comune.cessalto.tv.it	altro	null	null	null	null	null	null				null	0		
00326670791	c_c581	Comune di Cessaniti	Cessaniti	Francesco	Mazzeo	89816	VV	Calabria	www.comune.cessaniti.vv.it	Piazza Marconi	Sidaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollocessaniti@asmepec.it	pec	ragioneria@comunecessaniti.it	altro	null	null	null	null	null	null				null	0		1
00242710432	c_c582	Comune di Cessapalombo	Cessapalombo	Giuseppina	Feliciotti	62020	MC	Marche	www.comune.cessapalombo.mc.it	Via Mazzini,3	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cessapalombo.mc@legalmail.it	pec	info@comune.cessapalombo.mc.it	altro	roberto.luchini@comune.cessapalombo.mc.it	altro	ufficio.anagrafe@comune.cessapalombo.mc.it	altro	null	null	https://www.facebook.com/Comune-Di-Cessapalombo-1581293222088939/				0	1	1
00191920057	c_c583	Comune di Cessole	Cessole	Pier Augusto	Ceretti	14050	AT	Piemonte	www.comune.cessole.at.it	Via Roma 49	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cessole.at@legalmail.it	pec	municipio@comune.cessole.at.it	altro	null	null	null	null	null	null				null	0	1	1
00575760657	c_c584	Comune di Cetara	Cetara	Bruno	Ricciardi	84010	SA	Campania	www.comune.cetara.sa.it	Corso Umberto I, 47	Responsabile Finanziario	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info.cetara@asmepec.it	pec	null	null	null	null	null	null	null	null				null	0		1
81002490175	c_c585	Comune di Ceto	Ceto	Marina	Lanzetti	25040	BS	Lombardia	www.comune.ceto.bs.it	Via Guglielmo Marconi, 8	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.comuneceto.eu	pec	info@comune.ceto.bs.it	altro	null	null	null	null	null	null				null	0		
81003550522	c_c587	Comune di Cetona	Cetona	Roberto	COTTINI	53040	SI	Toscana	www.comune.cetona.siena.it	Via Roma, 41	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.cetona@pec.consorzioterrecablate.it	pec	null	null	null	null	null	null	null	null					0		1
86000770783	c_c588	Comune di Cetraro	Cetraro	Angelo	Aita	87022	CS	Calabria	www.comune.cetraro.cs.it	Via Luigi De Seta 54	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.cetraro@asmepec.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/comunedicetraro			null	0		1
00480720044	c_c589	Comune di Ceva	Ceva	Vincenzo	Bezzone	12073	CN	Piemonte	www.comune.ceva.cn.it	Piazza V. Emanuele II, 17	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.ceva.cn@cert.legalmail.it	pec	ufficio.protocollo@comune.ceva.cn.it	altro	servizifinanziari@pec.comune.ceva.cn.it	pec	serviziotecnico@pec.comune.ceva.cn.it	pec	lavoripubblici@pec.comune.ceva.cn.it	pec					0		1
00959860172	c_c591	Comune di Cevo	Cevo	Silvio Marcello	Citroni	25040	BS	Lombardia	www.comune.cevo.bs.it	Via Roma 22	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.cevo.bs.it	pec	paola.maffessoli@comune.cevo.bs.it	altro	null	null	null	null	null	null				null	0		
00125740076	c_c593	Comune di Challand-Saint-Anselme	Challand-Saint-Anselme	Piero	Dufour	11020	AO	Valle D'Aosta	www.comune.challand-st-anselme.ao.it	Frazione Quincod, 153	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.challand-st-anselme.ao.it	pec	null	null	null	null	null	null	null	null					0		1
81002010072	c_c594	Comune di Challand Saint Victor	Challand-Saint-Victor	Michel	Savin	11020	AO	Valle D'Aosta	www.comune.challand-st-victor.ao.it	Frazione Ville, 218	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.challand-st-victor.ao.it	pec	segreteria@comune.challand-st-victor.ao.it	altro	null	null	null	null	null	null				null	0		1
00101150076	c_c595	Comune di Chambave	Chambave	Marco	Vesan	11023	AO	Valle D'Aosta	www.chambave.ao.it	Via Emile Chanoux N.53	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.chambave.ao.it	pec	info@comune.chambave.ao.it	altro	null	null	null	null	null	null				null	0		
00125770073	c_c596	Comune di Champdepraz	Champdepraz	Jury	Corradin	11020	AO	Valle D'Aosta	www.comune.champdepraz.ao.it	Localita' Capoluogo 164	Sindaco Pro tempore	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.champdepraz.ao.it	pec	info@comune.champdepraz.ao.it	altro	null	null	null	null	null	null				null	0		1
00108260076	c_c598	Comune di Charvensod	Charvensod	Ronny	Borbey	11020	AO	Valle D'Aosta	www.comune.charvensod.ao.it	Loc. Capoluogo 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.charvensod.ao.it	pec	info@comune.charvensod.ao.it	altro	null	null	null	null	null	null	http://www.facebook.com/comunedicharvensod	https://twitter.com/Charvensod		null	0		1
82000550044	c_c599	Comune di Cherasco	Cherasco	CHIARA ANGELA	NASI	12062	CN	Piemonte	www.comune.cherasco.cn.it	Via Vittorio Emanuele, 79	Direttore Generale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	cherasco@postemailcertificata.it	pec	null	null	null	null	null	null	null	null				null	0		1
00266660901	c_c600	Comune di Cheremule	Cheremule	Antonella	Chessa	07040	SS	Sardegna	www.comune.cheremule.ss.it	Piazza Parrocchia, 7	Legale Rappresentante	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni	CHEREMULE	S	protocollo.cheremule@legalmail.it	pec	protocollo@comune.cheremule.ss.it	altro	null	null	null	null	null	null				null	2		
83002850010	c_c604	Comune di Chialamberto	Chialamberto	Matteo	Bossa	10070	TO	Piemonte	www.comune.chialamberto.to.it	Via Roma N. 2	Segretario Comunale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comchialamberto@pec.it	pec	chialamberto@reteunitaria.piemonte.it	altro	null	null	null	null	null	null				null	0		1
81000350249	c_c605	Comune di Chiampo	Chiampo	Matteo	Macilotti	36072	VI	Veneto	www.comune.chiampo.vi.it	Piazza Zanella, 42	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.comune.chiampo.vi@pecveneto.it	pec	null	null	null	null	null	null	null	null				null	0		
80010570648	c_c606	Comune di Chianche	Chianche	ANGELA MARIA	POLITO	83010	AV	Campania	www.comune.chianche.av.it	Via Angelina, 4	Segretario Comunale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.chianche@asmepec.it	pec	comunedichianche@libero.it	altro	null	null	null	null	null	null				null	0		
00232210526	c_c608	Comune di Chianciano Terme	Chianciano Terme	Andrea	Marchetti	53042	SI	Toscana	www.comune.chianciano-terme.si.it	Via Solferino, 3	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.chianciano-terme@pec.consorzioterrecablate.it	pec	protocollo@comune.chianciano-terme.si.it	altro	null	null	null	null	null	null				null	0		
81000610501	c_c609	Comune di Chianni	Chianni	Giacomo	Tarrini	56034	PI	Toscana	www.comune.chianni.pi.it	Via Della Costituente, 9	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.chianni@postacert.toscana.it	pec	null	null	null	null	null	null	null	null				null	0		
01271840017	c_c610	Comune di Chianocco	Chianocco	Giuseppe	Galliano	10050	TO	Piemonte	www.comune.chianocco.to.it	Frazione Roccaforte N. 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	segreteria@pec.comune.chianocco.to.it	pec	anagrafe@pec.comune.chianocco.to.it	pec	tecnico@pec.comune.chianocco.to.it	pec	chianocco@cert.ruparpiemonte.it	pec	null	null				null	0		
00068940881	c_c612	Comune di Chiaramonte Gulfi	Chiaramonte Gulfi	VITO	FORNARO	97012	RG	Sicilia	www.comune.chiaramonte-gulfi.gov.it	C.so Umberto 65	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.chiaramonte-gulfi.rg.it	pec	fatturazionelettronicachiaramonte@pec.it	pec	attiinternet@comune.chiaramonte-gulfi.gov.it	altro	demografici@pec.comune.chiaramonte-gulfi.rg.it	pec	null	null				null	0		1
00253990907	c_c613	Comune di Chiaramonti	Chiaramonti	ALESSANDRO	UNALI	07030	SS	Sardegna	www.comune.chiaramonti.ss.it	Via Fratelli Cervi N. 1	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo@pec.comune.chiaramonti.ss.it	pec	ufftecnico@comune.chiaramonti.ss.it	altro	null	null	null	null	null	null					0		
80011390269	c_c614	Comune di Chiarano	Chiarano	Stefano	Andreetta	31040	TV	Veneto	www.comune.chiarano.tv.it	Via G. Marconi, 21	Responsabile Dell'area Amm.vo-contabile	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.chiarano.tv@pecveneto.it	pec	info@comune.chiarano.tv.it	altro	ufficioragioneria@comune.chiarano.tv.it	altro	null	null	null	null				null	0		
00166560425	c_c615	Comune di Chiaravalle	Chiaravalle	Damiano	Costantini	60033	AN	Marche	www.comune.chiaravalle.an.it	P.zza Risorgimento, 11	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	info@pec.comune.chiaravalle.an.it	pec	info@comune.chiaravalle.an.it	altro	null	null	null	null	null	null	https://www.facebook.com/comunedichiaravalle		https://www.youtube.com/user/ChiaravalleTV	null	0		1
00320090798	c_c616	Comune di Chiaravalle Centrale	Chiaravalle Centrale	Domenico Savio	Donato	88064	CZ	Calabria	www.comune.chiaravallecentrale.cz.it	Via Salita Castello	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunechiaravallecentrale@asmepec.it	pec	null	null	null	null	null	null	null	null				null	0		1
00606990174	c_c618	Comune di Chiari	Chiari	Maria	Lamari	25032	BS	Lombardia	www.comune.chiari.brescia.it	Piazza Martiri Della Liberta', 26	Dirigente Settore 1 - Affari Generali	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunedichiari@legalmail.it	pec	null	null	null	null	null	null	null	null	https://www.facebook.com/pages/Comune-di-Chiari/124684810965869	https://twitter.com/ComunediChiari	https://www.youtube.com/channel/UCrzPPhNguW7lYf2Zvqlb8pQ	null	0		1
82000410769	c_c619	Comune di Chiaromonte	Chiaromonte	Valentina	Viola	85032	PZ	Basilicata	www.chiaromonte.gov.it	Via G. Di Giura 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.chiaromonte@cert.ruparbasilicata.it	pec	comunechiaromonte@rete.basilicata.it	altro	null	null	null	null	null	null	https://www.facebook.com/chiaromonte	https://twitter.com/cochiaromonte	https://www.youtube.com/user/comunechiaromonte	null	1		
00067470948	c_c620	Comune di Chiauci	Chiauci	Mario	Adduci	86097	IS	Molise	www.comune.chiauci.is.it/	Via Municipio N. 14	Segretario Comunale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comunedichiauci@pec.it	pec	comune@comune.chiauci.is.it	altro	null	null	null	null	null	null				null	0		
00592160105	c_c621	Comune di Chiavari	Chiavari	Marco	Di Capua	16043	GE	Liguria	www.comune.chiavari.ge.it	Piazza Nostra Signora Dell'Orto, 1	Dott.	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	comune.chiavari@cert.legalmail.it	pec	protocollo@comune.chiavari.ge.it	altro	null	null	null	null	null	null				null	0		1
00115790149	c_c623	Comune di Chiavenna	Chiavenna	Luca	Della Bitta	23022	SO	Lombardia	www.comune.chiavenna.so.it	Piazza Bertacchi, 2	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.chiavenna@cert.provincia.so.it	pec	info@comune.chiavenna.so.it	altro	null	null	null	null	null	null				null	0		
02195200015	c_c624	Comune di Chiaverano	Chiaverano	Giuseppe	Costantino	10010	TO	Piemonte	comune.chiaverano.to.it	Piazza Ombre, 1	Segretario Comunale	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	chiaverano@cert.ruparpiemonte.it	pec	info@comune.chiaverano.to.it	altro	null	null	null	null	null	null				null	0		1
81003550217	c_c625	Comune di Chienes	Chienes	Andreas	Falkensteiner	39030	BZ	Trentino Alto Adige	www.gemeinde.kiens.bz.it	Via Chienes 4	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	kiens.chienes@legalmail.it	pec	null	null	null	null	null	null	null	null				null	0		1
82000210011	c_c627	Comune di Chieri	Chieri	ALESSANDRO	SICCHIERO	10023	TO	Piemonte	www.comune.chieri.to.it	Via Palazzo Di Citta', 10	Sindaco	Comuni e loro Consorzi e Associazioni	Pubbliche Amministrazioni		S	protocollo.chieri@pcert.it	pec	protocollo@comune.chieri.to.it	altro	null	null	null	null	null	null					0		
