cf,Regione,Provincia,des_amm,URLrobots,url,cod_amm,Comune,nome_resp,cogn_resp,Cap,sito_istituzionale,Indirizzo,titolo_resp,tipologia_istat,tipologia_amm,acronimo,cf_validato,mail1,tipo_mail1,mail2,tipo_mail2,mail3,tipo_mail3,mail4,tipo_mail4,mail5,tipo_mail5,url_facebook,url_twitter,url_youtube,url_linkedin,liv_accessibili,HTTPreply,robots
00233770601,Lazio,FR,Comune di Villa Santo Stefano,,www.comune.villasantostefano.fr.it,c_i364,Villa Santo Stefano,Giovanni,Iorio,03020,www.comune.villasantostefano.fr.it,"Piazza Cardinale Domenico Iorio, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,ragioneria@pec.comune.villasantostefano.fr.it,pec,info@pec.comune.villasantostefano.fr.it,pec,null,null,null,null,null,null,,,,null,0,404,
00233770908,Sardegna,SS,Comune di Villanova Monteleone,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00233770908.txt,www.comune.villanovamonteleone.ss.it,c_l989,Villanova Monteleone,Quirico,Meloni,07019,www.comune.villanovamonteleone.ss.it,"Via Nazionale, 104",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.villanovamonteleone@halleycert.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00233780527,Toscana,SI,Comune di Chiusi,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00233780527.txt,www.comune.chiusi.si.it,c_c662,Chiusi,Juri,Bettollini,53043,www.comune.chiusi.si.it,"Piazza XX Settembre, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,AOOCCHIU,S,protocollo.chiusi@legalmail.it,pec,ragioniere@comune.chiusi.si.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00233820224,Trentino Alto Adige,TN,Comune di Civezzano,,www.comunecivezzano.it,c_c756,Civezzano,Stefano,Dellai,38045,www.comunecivezzano.it,"Via Telvana, 9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune@pec.comune.civezzano.tn.it,pec,info@comunecivezzano.it,altro,roberto.oss@comunecivezzano.it,altro,null,null,null,null,,,,null,0,404,
00233900646,Campania,AV,Comune di Pietrastornina,,www.comune.pietrastornina.av.it,c_g629,Pietrastornina,Amato,Rizzo,83015,www.comune.pietrastornina.av.it,"Piazza Salvatore Iermano - gia' Aldo Moro, 4",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.pietrastornina@asmepec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00233930130,Lombardia,CO,Comune di Cantu',https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00233930130.txt,www.comune.cantu.co.it,c_b639,Cantu',Paolo,Bertazzoli,22063,www.comune.cantu.co.it,Piazza Parini 4,Segretario Generale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.cantu@pec.regione.lombardia.it,pec,urp@comune.cantu.co.it,altro,null,null,null,null,null,null,,,,,0,200,x
00234140234,Veneto,VR,Comune di Cologna Veneta,,www.comune.cologna-veneta.vr.it,C_C890,Cologna Veneta,Manuel,Scalzotto,37044,www.comune.cologna-veneta.vr.it,"Piazza Capitaniato, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,colognaveneta.vr@cert.ip-veneto.net,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00234480523,Toscana,SI,Comune di Torrita di Siena,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00234480523.txt,www.comune.torrita.siena.it,c_l303,Torrita di Siena,Giacomo,Grazi,53049,www.comune.torrita.siena.it,"Piazza Giacomo Matteotti, 10",Sindaco pro tempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,AOOCTOR,S,comune.torritadisiena@postacert.toscana.it,pec,info@comune.torrita.siena.it,altro,null,null,null,null,null,null,https://www.facebook.com/comune.torritadisiena,,http://www.youtube.com/channel/UCLijNnUE10GDlGzDW1Dp5og,null,0,200,x
00234500692,Abruzzo,CH,Comune di Casalbordino,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00234500692.txt,www.comunecasalbordino.org,c_b865,Casalbordino,Filippo,Marinucci,66021,www.comunecasalbordino.org,Piazza Umberto I,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.comunecasalbordino@legalmail.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00235250644,Campania,AV,Comune di Montella,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00235250644.txt,www.comune.montella.av.it,c_f546,Montella,Rizieri,Buonapane,83048,www.comune.montella.av.it,"Piazza Degli Irpini, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.montella@asmepec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00235390119,Liguria,SP,Comune di Porto Venere,,comune.portovenere.sp.it,c_g925,Portovenere,Matteo,Cozzani,19025,comune.portovenere.sp.it,Via Garibaldi N. 9,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.portovenere.sp.it,pec,null,null,null,null,null,null,null,null,,,,,0,000,
00235390663,Abruzzo,AQ,Comune di Castel di Ieri,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00235390663.txt,comune.casteldiieri.aq.it,c_c090,Castel di Ieri,Fernando,Fabrizio,67020,comune.casteldiieri.aq.it,Via Sanguineto,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,casteldiieri@pec.it,pec,municipiodicasteldiieri@virgilio.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00235500493,Toscana,LI,Comune di San Vincenzo,,www.comune.san-vincenzo.li.it,c_l390,San Vincenzo,Alessandro,Bandini,57027,www.comune.san-vincenzo.li.it,Via B. Alliata,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunesanvincenzo@postacert.toscana.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00235550696,Abruzzo,CH,Comune di Pennapiedimonte,,www.comune.pennapiedimonte.ch .it,c_g435,Pennapiedimonte,Giuseppe,Di Giorgio,66010,www.comune.pennapiedimonte.ch .it,"Via Calvario,9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.pennapiedimonte@pec.it,pec,info@comune.pennapiedimonte.ch.it,altro,null,null,null,null,null,null,,,,null,0,000,
00235880366,Emilia Romagna,MO,Comune di Sassuolo,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00235880366.txt,www.comune.sassuolo.mo.it,c_i462,Sassuolo,Claudio,Pistoni,41049,www.comune.sassuolo.mo.it,"Via Fenuzzi, 5",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.sassuolo@cert.comune.sassuolo.mo.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00236000923,Sardegna,CI,Comune di Fluminimaggiore,,www.comune.fluminimaggiore.ca.it,c_d639,Fluminimaggiore,Ferdinando,Pellegrini,09010,www.comune.fluminimaggiore.ca.it,Via Vittorio Emanuele 200,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.fluminimaggiore.ca.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00236130241,Veneto,VI,Comune di Zugliano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00236130241.txt,www.comune.zugliano.vi.it,c_m199,Zugliano,Sandro,Maculan,36030,www.comune.zugliano.vi.it,"Via Roma, 69",sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,zugliano.vi@cert.ip-veneto.net,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00236180568,Lazio,VT,Comune di Faleria,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00236180568.txt,www.comune.faleria.vt.it,c_d475,Faleria,Marco,Del Vecchio,01030,www.comune.faleria.vt.it,"Piazza G. Garibaldi, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comunedifaleria.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00236190567,Lazio,VT,Comune di Calcata,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00236190567.txt,www.comune.calcata.vt.it,c_b388,Calcata,CRISTINA,BARBAGIOVANNI,01030,www.comune.calcata.vt.it,Piazza Risorgimento 1,SEGRETARIO COMUNALE,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comunecalcata.it,pec,amministrazione@comunecalcata.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00236730693,Abruzzo,CH,Comune di Scerni,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00236730693.txt,www.comunediscerni.com,c_i520,Scerni,Stefania,Di Silvio,66020,www.comunediscerni.com,Via IV Novembre N.18,Responsabile Ufficio Ll.pp.,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@comunediscerni.legalmail.it,pec,comunediscerni@comunediscerni.com,altro,null,null,null,null,null,null,https://www.facebook.com/search/top/?q=comune%20di%20scerni%20-%20pagina%20istituzionale,,,null,0,200,x
00236840120,Lombardia,VA,Comune di Gerenzano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00236840120.txt,www.comune.gerenzano.va.it,c_d981,Gerenzano,Ivano,Campi,21040,www.comune.gerenzano.va.it,Via Duca Degli Abruzzi N. 2,Sindaco pro tempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.gerenzano@pec.regione.lombardia.it,pec,segreteria@comune.gerenzano.va.it,altro,urbanistica@comune.gerenzano.va.it,altro,ragioneria@comune.gerenzano.va.it,altro,null,null,,,,null,0,200,x
00237070362,Emilia Romagna,MO,Comune di Nonantola,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00237070362.txt,www.comune.nonantola.mo.it,c_f930,Nonantola,Federica,Nannetti,41015,www.comune.nonantola.mo.it,Via Guglielmo Marconi 11,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.nonantola@cert.comune.nonantola.mo.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00237080908,Sardegna,SS,Comune di Bonnanaro,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00237080908.txt,www.comune.bonnanaro.ss.it,c_a976,Bonnanaro,Antonio,Marras,07043,www.comune.bonnanaro.ss.it,Via Garibaldi 4,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.bonnanaro.ss.it,pec,ufficiotecnico@pec.comune.bonnanaro.ss.it,pec,ragioneria@pec.comune.bonnanaro.ss.it,pec,anagrafestatocivile@pec.comune.bonnanaro.ss.it,pec,servizisociali@pec.comune.bonnanaro.ss.it,pec,,,,null,0,200,x
00237220900,Sardegna,SS,Comune di Anela,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00237220900.txt,www.comune.anela.ss.it,c_a287,Anela,ANTONIO DAMIANO,MULAS,07010,www.comune.anela.ss.it,Via Roma,SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocolloanela@legpec.it,pec,finanze@comune.anela.ss.it,altro,null,null,null,null,null,null,,,,null,1,200,x
00237790126,Lombardia,VA,Comune di Ferno,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00237790126.txt,www.ferno.gov.it,c_d543,Ferno,Filippo,Gesualdi,21010,www.ferno.gov.it,"Via Aldo Moro,3",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune@ferno.legalmailpa.it,pec,comune@ferno.gov.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00238090641,Campania,AV,Comune di Monteforte Irpino,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00238090641.txt,www.comune.monteforteirpino.av.it,c_f506,Monteforte Irpino,Costantino,Giordano,83024,www.comune.monteforteirpino.av.it,Via Lofreddo,Sindaco Pro Tempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.monteforteirpino.av@asmepec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00238090799,Calabria,CZ,Comune di Conflenti,,www.comuneconflenti.it,c_c960,Conflenti,Giovanni,Farina,88040,www.comuneconflenti.it,Via Marconi,Segretario Comunale,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comuneconflenti@asmepec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,000,
00238120844,Sicilia,AG,Comune di Siculiana,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00238120844.txt,www.comune.siculiana.ag.it,c_i723,Siculiana,Leonardo,Lauricella,92010,www.comune.siculiana.ag.it,"Piazza G. Basile, 23",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.siculiana.ag.it,pec,segreteria@pec.comune.siculiana.ag.it,pec,suap@pec.comune.siculiana.ag.it,pec,ragioneria@comune.siculiana.ag.it,altro,null,null,,,,null,0,200,x
00238440762,Basilicata,PZ,Comune di Abriola,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00238440762.txt,www.comune.abriola.pz.it,c_a013,Abriola,Romano,Triunfo,85010,www.comune.abriola.pz.it,"Via Passarelli, 3",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.abriola@cert.ruparbasilicata.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00238480560,Lazio,VT,Comune di San Lorenzo Nuovo,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00238480560.txt,www.comunesanlorenzonuovo.it,c_h969,San Lorenzo Nuovo,Massimo,Bambini,01020,www.comunesanlorenzonuovo.it,"Piazza Europa, 31",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunesanlorenzonuovo@pec.it,pec,RAGIONERIA@COMUNESANLORENZONUOVO.IT,altro,null,null,null,null,null,null,,,,null,0,200,x
00238520167,Lombardia,BG,Comune di Vertova,,www.comune.vertova.bg.it,c_l795,Vertova,Riccardo,Cagnoni,24029,www.comune.vertova.bg.it,Via Roma 12,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.vertova@pec.it,pec,segreteria2@comune.vertova.bg.it,altro,null,null,null,null,null,null,,,,null,0,200,
00238700082,Liguria,IM,Comune di Airole,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00238700082.txt,comune.airole.im.it,c_a111,Airole,Fausto,Molinari,18030,comune.airole.im.it,"Piazza Padre Giacomo Viale, N. 2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.airole.im@legalmail.it,pec,airolecom@gmail.com,altro,null,null,null,null,null,null,,,,null,0,200,x
00238720080,Liguria,IM,Comune di Olivetta San Michele,,www.comune.olivettasanmichele.im.it,c_g041,Olivetta San Michele,Luigi,Giffoni,18030,www.comune.olivettasanmichele.im.it,"Viale Rimembranza, 4",Responsabile Ufficio Finanziario,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunediolivettasm@pec.it,pec,comunediolivettasm@libero.it,altro,null,null,null,null,null,null,,,,null,0,410,
00239020696,Abruzzo,CH,Comune di Giuliano Teatino,,www.comune.giulianoteatino.ch.it,c_e056,Giuliano Teatino,Nicola,Andreacola,66010,www.comune.giulianoteatino.ch.it,"Piazza Don Cocco,  2",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.giulianoteatino@pec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00239690795,Calabria,KR,Comune di Rocca di Neto,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00239690795.txt,www.comune.roccadineto.kr.it,c_h403,Rocca di Neto,Tommaso,Blandino,88821,www.comune.roccadineto.kr.it/,"Corso Umberto I, N. 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo-albopretorio.roccadineto@asmepec.it,pec,poliziamunicipale.roccadineto@asmepec.it,pec,null,null,null,null,null,null,,,,null,0,200,x
00239730815,Sicilia,TP,Comune di Salemi,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00239730815.txt,www.salemi.gov.it,c_h700,Salemi,Domenico,Venuti,91018,www.salemi.gov.it,"Piazza Dittatura, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.cittadisalemi.it,pec,protocollo@cittadisalemi.it,altro,null,null,null,null,null,null,,,,null,2,200,x
00239740905,Sardegna,SS,Comune di Sassari,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00239740905.txt,www.comune.sassari.it,c_i452,Sassari,Gian Vittorio,Campus,07100,www.comune.sassari.it,"Piazza Del Comune, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@pec.comune.sassari.it,pec,sportellounico@pec.comune.sassari.it,pec,sue@pec.comune.sassari.it,pec,pg.polizialocalesassari@pec.comune.sassari.it,pec,tributi@pec.comune.sassari.it,pec,@ComunediSassari,@Comunedisassari,https://www.youtube.com/channel/UCEZygiq2sPLK-J6YCQC7TqA,,2,200,x
00239820814,Sicilia,TP,Comune di Partanna,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00239820814.txt,www.partanna.gov.it,c_g347,Partanna,Nicola,Catania,91028,www.partanna.gov.it,"Via Vittorio Emanuele, 18",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,partanna@pec.it,pec,statocivilepartanna@pec.it,pec,poliziamunicipale.partanna@pec.it,pec,null,null,null,null,,,,null,0,200,x
00239980691,Abruzzo,CH,Comune di Guardiagrele,,www.comune.guardiagrele.ch.it,c_e243,Guardiagrele,Simone,Dal Pozzo,66016,www.comune.guardiagrele.ch.it,"Piazza S.Francesco, N. 12",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.guardiagrele@pec.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00240600163,Lombardia,BG,Comune di Cene,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240600163.txt,www.comune.cene.bg.it,c_c459,Cene,Giorgio,Valoti,24020,www.comune.cene.bg.it,"Piazza Italia, 14",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.cene@legalmail.it,pec,ragioneria@comune.cene.bg.it,altro,null,null,null,null,null,null,https://www.facebook.com,,,null,0,200,x
00240610527,Toscana,SI,Comune di Castiglione D'Orcia,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240610527.txt,www.comune.castiglionedorcia.siena.it,c_c313,Castiglione d'Orcia,CLAUDIO,GALLETTI,53023,www.comune.castiglionedorcia.siena.it,"Viale Guglielmo Marconi, 11",SINDACO,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.castiglionedorcia@postacert.toscana.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00240690792,Calabria,CZ,Comune di Palermiti,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240690792.txt,www.comune.palermiti.cz.it,c_g272,Palermiti,Roberto,Giorla,88050,www.comune.palermiti.cz.it,Pzza Marconi 33,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,ufficiotecnico.palermiti@asmepec.it,pec,null,null,demografici.palermiti@asmepec.it,pec,null,null,null,null,https://www.facebook.com/palermiti,https://www.twitter.com/palermiti,https://www.youtube.com/palermiti,null,0,200,x
00240710699,Abruzzo,CH,Comune di Canosa Sannita,,www.comunecanosasannita.it,c_b620,Canosa Sannita,Lorenzo,Di Sario,66010,www.comunecanosasannita.it,"Via Vittorio Emanuele, 32",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunecanosa@pec.comunecanosasannita.it,pec,null,null,null,null,null,null,null,null,,,,null,0,404,
00240820183,Lombardia,PV,Comune di Santa Giuletta,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240820183.txt,www.comune.santagiuletta.pv.it,c_i203,Santa Giuletta,Simona,Dacarro,27046,www.comune.santagiuletta.pv.it,"Via Martiri Della Liberta', 7",Sindaco Pro-Tempore,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.santagiuletta@pec.regione.lombardia.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00240830695,Abruzzo,CH,Comune di Villalfonsina,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240830695.txt,www.comune.villalfonsina.ch.it,c_l961,Villalfonsina,Mimmo,Budano,66020,www.comune.villalfonsina.ch.it,"Corso Adriatico, 21",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comunevillalfonsina@postecert.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00240870162,Lombardia,BG,Comune di Osio Sopra,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240870162.txt,www.comune.osiosopra.bg.it,c_g159,Osio Sopra,Leonia,Ongis,24040,www.comune.osiosopra.bg.it,"Piazza Giuseppe Garibaldi, 1",Responsabile area amministrativa,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.osiosopra@pec.regione.lombardia.it,pec,affarigenerali@comune.osiosopra.bg.it,altro,anagrafe@comune.osiosopra.bg.it,altro,cultura@comune.osiosopra.bg.it,altro,utc@comune.osiosopra.bg.it,altro,https://www.facebook.com/amministrazionecomunale.osiosopra?fref=ts,,,null,0,200,x
00240880161,Lombardia,BG,Comune di Levate,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240880161.txt,www.comune.levate.bg.it,c_e562,Levate,Federica,Bruletti,24040,www.comune.levate.bg.it,Piazza Roma 13,Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.levate@legalmail.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
00240930164,Lombardia,BG,Comune di Bolgare,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00240930164.txt,www.comune.bolgare.bg.it,c_a937,Bolgare,Luciano,Redolfi,24060,www.comune.bolgare.bg.it,"Via Dante, 24",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.bolgare@cert.legalmail.it,pec,protocollo@comune.bolgare.bg.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00240940163,Lombardia,BG,Comune di Telgate,,www.comune.telgate.bg.it/sito/index.php,c_l087,Telgate,Fabrizio,Sala,24060,https://www.comune.telgate.bg.it/sito/index.php,"Piazza Vittorio Veneto,42",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.telgate@pec.it,pec,servizidemografici@pec.comune.telgate.bg.it,pec,suap@pec.comune.telgate.bg.it,pec,info@comune.telgate.bg.it,altro,privacy@comune.telgate.bg.it,altro,,,,null,0,404,
00241280023,Piemonte,BI,Comune di Lessona,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241280023.txt,www.comunelessona.it,c_e552,Lessona,Chiara,Comoglio,13853,www.comunelessona.it,"Piazza G.Marconi, 5",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,lessona@pec.ptbiellese.it,pec,urp.lessona@ptb.provincia.biella.it,altro,demog.lessona@ptb.provincia.biella.it,altro,uftec.lessona@ptb.provincia.biella.it,altro,rag.lessona@ptb.provincia.biella.it,altro,,,,null,0,200,x
00241500024,Piemonte,BI,Comune di Masserano,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241500024.txt,comune.masserano.bi.it,c_f042,Masserano,Sergio,Fantone,13866,https://comune.masserano.bi.it,"Via Roma, 190",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.masserano.bi@legalmail.it,pec,cristina@comune.masserano.bi.it,altro,anagrafe.masserano.bi@legalmail.it,pec,null,null,null,null,,,,null,0,200,x
00241700244,Veneto,VI,Comune di Villaverla,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241700244.txt,www.comune.villaverla.vi.it,c_m032,Villaverla,Nadia,Dal Cengio,36030,www.comune.villaverla.vi.it,"Piazza Delle Fornaci, 1",Responsabile Settore Amministrativo e Demografico,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,villaverla.vi@cert.ip-veneto.net,pec,villaverla.finanziario@pec.altovicentino.it,pec,villaverla.tecnico@pec.altovicentino.it,pec,villaverla.territorio@pec.altovicentino.it,pec,villaverla.demografico@pec.altovicentino.it,pec,,,,null,0,200,x
00241790245,Veneto,VI,Comune di Zane',https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241790245.txt,www.comune.zane.vi.it,c_m145,Zane',Roberto,Berti,36010,www.comune.zane.vi.it,"Via G. Mazzini, 21",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.zane.demografici@pec.altovicentino.it,pec,ufficio.anagrafe@comune.zane.vi.it,altro,ufficio.tecnico@comune.zane.vi.it,altro,null,null,null,null,,,,null,0,200,x
00241790344,Emilia Romagna,PR,Comune di Tizzano Val Parma,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241790344.txt,www.comune.tizzano-val-parma.pr.it,c_l183,Tizzano Val Parma,Elisa,Iattoni,43028,www.comune.tizzano-val-parma.pr.it,"Piazza Roma, 1",Responsabile dei Servizi Finanziari,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@postacert.comune.tizzano-val-parma.pr.it,pec,tizzano@comune.tizzano-val-parma.pr.it,altro,null,null,null,null,null,null,,,,null,0,200,x
00241950641,Campania,AV,Comune di Torella dei Lombardi,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00241950641.txt,www.comune.torelladeilombardi.av.it,c_l214,Torella dei Lombardi,Amado,DELLI GATTI,83057,www.comune.torelladeilombardi.av.it,"Via Camillo Ruspoli, 4",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo.torella@cert.irpinianet.eu,pec,segreteria@comune.torelladeilombardi.av.it,altro,null,null,null,null,null,null,,,,null,2,200,x
00242110765,Basilicata,PZ,Comune di Francavilla in Sinni,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00242110765.txt,www.comune.francavillainsinni.pz.it,c_d766,Francavilla in Sinni,Romano,Cupparo,85034,www.comune.francavillainsinni.pz.it,"Piazza Magistrati Mainieri, 1",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,protocollo@francavillainsinni.gov.it,pec,null,null,null,null,null,null,null,null,,,,,0,200,x
00242200517,Toscana,AR,Comune di Cavriglia,https://raw.githubusercontent.com/aborruso/parobot/master/comuni/00242200517.txt,www.comune.cavriglia.ar.it,c_c407,Cavriglia,LEONARDO,DEGL' INNOCENTI O SANNI,52022,www.comune.cavriglia.ar.it,"Viale Principe Di Piemonte, 9",Sindaco,Comuni e loro Consorzi e Associazioni,Pubbliche Amministrazioni,,S,comune.cavriglia@postacert.toscana.it,pec,null,null,null,null,null,null,null,null,,,,null,0,200,x
